country_code,country,year,density_life_usd,density_nonlife_usd,density_total_usd,gross_premiums_life_usd,gross_premiums_nonlife_usd,gross_premiums_total_usd,life_share_pct,penetration_life_pct,penetration_nonlife_pct,penetration_total_pct,retention_ratio_life_pct,retention_ratio_nonlife_pct,retention_ratio_total_pct,life_nonlife_ratio,yoy_growth_life_pct,market_tier
ARG,Argentina,2018,63.015,364.544,427.558,2885.992,17251.021,20137.013,14.332,0.337,1.949,2.286,96.802,88.049,89.303,0.1673,,Developing (1.5-3%)
ARG,Argentina,2019,36.993,227.372,264.365,1715.555,10858.937,12574.492,13.643,0.288,1.768,2.056,95.67,85.961,87.285,0.158,-40.56,Developing (1.5-3%)
ARG,Argentina,2020,34.093,224.118,258.211,1605.986,10780.555,12386.54,12.966,0.337,2.213,2.549,94.109,85.09,86.26,0.149,-6.39,Developing (1.5-3%)
ARG,Argentina,2021,36.038,237.507,273.545,1717.516,11524.798,13242.314,12.97,0.295,1.942,2.236,92.985,83.765,84.96,0.149,6.94,Developing (1.5-3%)
ARG,Argentina,2022,47.909,315.919,363.828,2315.603,15441.198,17756.802,13.041,0.273,1.801,2.075,91.734,85.566,86.37,0.15,34.82,Developing (1.5-3%)
BOL,Bolivia,2018,20.032,26.942,46.974,238.11,311.25,549.361,43.343,0.562,0.756,1.319,71.884,41.927,54.911,0.765,,Underdeveloped (<1.5%)
BOL,Bolivia,2019,22.407,27.541,49.948,273.789,336.271,610.059,44.879,0.628,0.772,1.401,68.162,42.277,53.894,0.8142,14.979999999999999,Underdeveloped (<1.5%)
BOL,Bolivia,2020,24.054,26.553,50.607,296.091,331.513,627.604,47.178,0.764,0.843,1.607,69.167,43.649,55.688,0.8932,8.15,Developing (1.5-3%)
BOL,Bolivia,2021,24.85,27.074,51.924,309.378,345.125,654.504,47.269,0.726,0.791,1.516,63.279,43.763,52.988,0.8964,4.49,Developing (1.5-3%)
BRA,Brazil,2018,196.259,98.523,294.782,40919.101,20542.668,61461.769,66.577,2.135,1.072,3.206,99.559,87.741,95.609,1.9919,,Mature (>3%)
BRA,Brazil,2019,207.876,91.857,299.734,43684.62,19305.224,62989.844,69.352,2.332,1.03,3.362,99.591,86.357,95.535,2.2628,6.76,Mature (>3%)
BRA,Brazil,2020,157.608,72.238,229.846,33374.466,15297.043,48671.509,68.571,2.261,1.036,3.297,99.616,82.67,94.29,2.1818,-23.599999999999998,Mature (>3%)
BRA,Brazil,2021,167.367,78.636,246.002,35583.635,16718.76,52302.395,68.034,2.157,1.013,3.171,99.569,80.237,93.39,2.1284,6.619999999999999,Mature (>3%)
BRA,Brazil,2022,193.276,103.263,296.539,41598.121,24977.264,66575.385,62.483,2.153,1.15,3.304,99.364,77.228,91.059,1.6654,16.900000000000002,Mature (>3%)
CHL,Chile,2018,509.387,230.564,739.951,9632.535,4373.123,14005.659,68.776,3.233,1.464,4.697,93.298,63.831,84.097,2.2027,,Mature (>3%)
CHL,Chile,2019,448.24,219.884,668.124,8641.104,4251.559,12892.664,67.023,3.075,1.509,4.584,93.067,61.826,82.765,2.0325,-10.290000000000001,Mature (>3%)
CHL,Chile,2020,303.519,204.46,507.98,5955.907,4032.984,9988.891,59.625,2.324,1.566,3.89,92.399,53.798,76.814,1.4768,-31.069999999999997,Mature (>3%)
CHL,Chile,2021,334.78,246.585,581.365,6654.661,4934.257,11588.918,57.423,2.084,1.535,3.619,96.881,53.469,78.397,1.3487,11.73,Mature (>3%)
CHL,Chile,2022,393.813,261.465,655.278,7918.602,5252.787,13171.39,60.12,2.609,1.732,4.342,97.974,54.27,80.544,1.5075,18.990000000000002,Mature (>3%)
COL,Colombia,2018,97.581,93.572,191.153,4709.911,4698.934,9408.845,50.058,1.409,1.351,2.76,91.962,70.2,81.094,1.0023,,Developing (1.5-3%)
COL,Colombia,2019,96.168,90.18,186.349,4750.237,4639.092,9389.329,50.592,1.471,1.379,2.85,91.226,69.273,80.38,1.024,0.86,Developing (1.5-3%)
COL,Colombia,2020,83.427,80.641,164.068,4202.409,4218.275,8420.684,49.906,1.556,1.504,3.059,90.897,65.629,78.239,0.9962,-11.53,Mature (>3%)
COL,Colombia,2021,93.652,91.313,184.965,4780.855,4857.132,9637.987,49.604,1.501,1.464,2.965,90.906,62.978,76.831,0.9843,13.76,Developing (1.5-3%)
COL,Colombia,2022,120.291,95.059,215.35,6208.12,5116.343,11324.464,54.82,1.805,1.426,3.231,93.056,63.162,79.55,1.2134,29.849999999999998,Mature (>3%)
CRI,Costa Rica,2018,42.842,221.84,264.682,215.155,1118.125,1333.28,16.137,0.345,1.785,2.129,79.026,77.248,77.535,0.1924,,Developing (1.5-3%)
CRI,Costa Rica,2019,44.82,233.604,278.424,227.47,1190.858,1418.329,16.038,0.353,1.84,2.194,80.645,77.858,78.305,0.191,5.72,Developing (1.5-3%)
CRI,Costa Rica,2020,41.84,237.668,279.508,214.557,1224.78,1439.337,14.907,0.344,1.953,2.297,82.226,77.61,78.298,0.1752,-5.680000000000001,Developing (1.5-3%)
CRI,Costa Rica,2021,45.965,232.751,278.716,238.1,1212.015,1450.115,16.419,0.368,1.866,2.234,85.566,77.029,78.431,0.1964,10.97,Developing (1.5-3%)
CRI,Costa Rica,2022,55.782,243.468,299.25,291.686,1281.232,1572.919,18.544,0.427,1.862,2.288,83.924,76.58,77.942,0.2277,22.509999999999998,Developing (1.5-3%)
DOM,Dominican Republic,2018,19.123,99.939,119.062,196.318,1025.973,1222.291,16.061,0.229,1.199,1.429,76.51,67.678,69.097,0.1913,,Underdeveloped (<1.5%)
ECU,Ecuador,2018,29.512,70.707,100.219,,,,,0.467,1.119,1.586,,,,,,Developing (1.5-3%)
ECU,Ecuador,2019,30.332,73.09,103.422,523.77,1273.619,1797.389,29.141,0.484,1.167,1.652,99.048,53.849,67.02,0.4112,,Developing (1.5-3%)
ECU,Ecuador,2021,1.311,95.241,96.552,23.276,1700.718,1723.994,1.35,0.022,1.593,1.615,89.552,66.793,67.1,0.0137,-95.56,Developing (1.5-3%)
SLV,El Salvador,2018,24.982,74.433,99.415,164.96,492.58,657.54,25.087,0.603,1.795,2.398,78.249,58.77,63.657,0.3349,,Developing (1.5-3%)
SLV,El Salvador,2019,27.155,78.474,105.628,179.754,522.33,702.084,25.603,0.634,1.833,2.468,76.567,58.39,63.044,0.3441,8.97,Developing (1.5-3%)
